Unnamed: 0,parse_count,restaurant_name,rating_review,sample,review_id,title_review,review_preview,review_full,date,city,url_restaurant,author_id,aspects
371417,371418,Taller_de_Tapas_Argenteria,4,Positive,review_212335326,Lovely tapas,Really lovely food and great service. We visited twice and both times we didn't have to wait long for them to seat all 8 of us together.,Really lovely food and great service. We visited twice and both times we didn't have to wait long for them to seat all 8 of us together.,"June 27, 2014",Barcelona_Catalonia,https://www.tripadvisor.com/Restaurant_Review-g187497-d8017679-Reviews-or630-Taller_de_Tapas_Argenteria-Barcelona_Catalonia.html,UID_209605,"{'food': 'positive', 'service': 'positive', 'wait time': 'positive'}"
247604,247605,Balthazar,3,Negative,review_136600343,busy middle class restaurant,Every time we are in the city visit this restaurant not because it's the best but because it has a varied menu with average price and cozy decoration.Most of the guests are either middle class people or tourists.The menu is long and has...,Every time we are in the city visit this restaurant not because it's the best but because it has a varied menu with average price and cozy decoration. Most of the guests are either middle class people or tourists. The menu is long and has varied dishes... but tasty at average price. The service is usually quick and the staff are friendly. Don't expect a romantic quiet night here. The tabels are close to each other and it gets busy most of the time and VERY noisy on the weekends! I might eat there again once I'm back to BCN.,"August 8, 2012",Barcelona_Catalonia,https://www.tripadvisor.com/Restaurant_Review-g187497-d782427-Reviews-or170-Balthazar-Barcelona_Catalonia.html,UID_6229,"{'restaurant': 'neutral', 'menu variety': 'positive', 'price': 'neutral', 'decoration': 'positive', 'guests': 'neutral', 'dishes': 'neutral', 'taste': 'neutral', 'service': 'positive', 'staff': 'positive', 'atmosphere': 'negative', 'noise level': 'negative', 'wait time': 'positive'}"
140435,140436,Tlaxcal,1,Negative,review_683802816,Awful Customer Service...,"We were is desperate need of some Mexican food after a month traveling in Europe and when we came across this place we thought we were finally going to eat some good Mexican food. But, to our surprise the experience at this place was awful....","We were is desperate need of some Mexican food after a month traveling in Europe and when we came across this place we thought we were finally going to eat some good Mexican food. But, to our surprise the experience at this place was awful. Their extreme lack of customer service skills was incredible. We asked for a table and were told by the person that greeted us, ""there is nothing available"" and he waled away. So after this warm welcome to their restaurant we ordered our food to go which shows how desperate we were for Mexican food because any other day I would have just left. But, we decided to eat outside on the benches. They had given us metal silverware to use while eating at the beches and obviously had to be returned once we were done. Instead a man kept coming outside to check on us as if we were going to run off with his precious forks. To me this was outrageous and I even thought about giving this poor man some money to buy more forks since it seemed he was short on them lol. Not to mention the food, not authentic Mexican food at all! If we would have known that the food was going to be as mediocre as the service we would have left. Deffinitly a learning experince!","June 23, 2019",Barcelona_Catalonia,https://www.tripadvisor.com/Restaurant_Review-g187497-d2321735-Reviews-or10-Tlaxcal-Barcelona_Catalonia.html,UID_104575,"{'mexican food': 'negative', 'service': 'negative', 'atmosphere': 'negative'}"
241076,241077,Agua,4,Positive,review_576732159,Chilled-out place in a great location,Agua is a place with excellent fish and seafood dishes right at Port Olympic/ Barceloneta beach. Getting a table on the sun terrace is a special treat. Service is a bit of a lottery - you can get a great one or a hit-and-miss -...,Agua is a place with excellent fish and seafood dishes right at Port Olympic/ Barceloneta beach. Getting a table on the sun terrace is a special treat. Service is a bit of a lottery - you can get a great one or a hit-and-miss - always difficult to predict,"April 30, 2018",Barcelona_Catalonia,https://www.tripadvisor.com/Restaurant_Review-g187497-d697400-Reviews-or90-Agua-Barcelona_Catalonia.html,UID_96503,"{'fish and seafood dishes': 'positive', 'location': 'positive', 'sun terrace': 'positive', 'service': 'neutral'}"
123114,123115,Cerveceria_Catalana,4,Positive,review_548872719,"Excellent tapas, fast service but often a bit of a wait to get a table","Some of the best tapas that we had in Barcelona. We arrived during the peak time around 21:00 on a Wednesday and had to wait around 15 minutes for a table. While the restaurant was packed, there was luckily a lot of turnover.The wait...","Some of the best tapas that we had in Barcelona. We arrived during the peak time around 21:00 on a Wednesday and had to wait around 15 minutes for a table. While the restaurant was packed, there was luckily a lot of turnover. The wait was well worth it and we enjoyed some excellent tapas. We particularly liked the fried green peppers, fried baby squid, assorted mushrooms, Spanish omelette and garlic prawns. We weren't big fans of the anchovies in vinegar and the bravas potatoes but enjoyed the Sangria. Service was extremely attentive and fast.","December 23, 2017",Barcelona_Catalonia,https://www.tripadvisor.com/Restaurant_Review-g187497-d782944-Reviews-or880-Cerveceria_Catalana-Barcelona_Catalonia.html,UID_94010,"{'tapas': 'positive', 'wait time': 'neutral', 'atmosphere': 'positive', 'fried green peppers': 'positive', 'fried baby squid': 'positive', 'assorted mushrooms': 'positive', 'spanish omelette': 'positive', 'garlic prawns': 'positive', 'anchovies in vinegar': 'negative', 'bravas potatoes': 'negative', 'sangria': 'positive', 'service': 'positive'}"
173416,173417,La_Taberna_del_Cobre,5,Positive,review_129617049,wine & tapas,"We had 5 different tapas and sangria de cava (white sparkling wine with fruits) plus dessertsDelicious spicy sausages, prawns with sauce, bravas patatas, etcIf you want try catalan and spanish food, try this place","We had 5 different tapas and sangria de cava (white sparkling wine with fruits) plus dessertsDelicious spicy sausages, prawns with sauce, bravas patatas, etcIf you want try catalan and spanish food, try this place","May 8, 2012",Barcelona_Catalonia,https://www.tripadvisor.com/Restaurant_Review-g187497-d798485-Reviews-or220-La_Taberna_del_Cobre-Barcelona_Catalonia.html,UID_123666,"{'tapas': 'positive', 'sangria de cava': 'positive', 'desserts': 'positive', 'spicy sausages': 'positive', 'prawns with sauce': 'positive', 'bravas patatas': 'positive', 'catalan and spanish food': 'positive'}"
96773,96774,Flaherty_s_Irish_Pub_Barcelona,5,Positive,review_230534047,"great service, great food, satelite TV for footy lovers",Set in a square next to a small childrens playground so ideal for families. We ate there twice (burger - v nice and full irish breakfast - lovely) Got busy in the evening with football fans - good atmosphere and great staff.,Set in a square next to a small childrens playground so ideal for families. We ate there twice (burger - v nice and full irish breakfast - lovely) Got busy in the evening with football fans - good atmosphere and great staff.,"September 23, 2014",Barcelona_Catalonia,https://www.tripadvisor.com/Restaurant_Review-g187497-d1898196-Reviews-or1230-Flaherty_s_Irish_Pub_Barcelona-Barcelona_Catalonia.html,UID_77086,"{'location': 'positive', 'family-friendliness': 'positive', 'food': 'positive', 'atmosphere': 'positive', 'service': 'positive'}"
237505,237506,Shoko,3,Negative,review_219781233,"Great location, good food, average service...","Our dining experience started out really well. You cannot find fault with Shoko's location on Barcelona's beachfront on a hot summer evening. The two glasses of Cava arrived quickly, the starter and both main courses were delicious and we were enjoying ourselves when suddenly things...","Our dining experience started out really well. You cannot find fault with Shoko's location on Barcelona's beachfront on a hot summer evening. The two glasses of Cava arrived quickly, the starter and both main courses were delicious and we were enjoying ourselves when suddenly things started to go wrong. The main waitress had disappeared, different staff took our orders for dessert, coffee and digestifs - with the result that it turned into a real mess. One espresso arrived on its own, no sign of dessert - and when finally the Marc de Champagne arrived, we realised that it was something totally different - only God (and maybe the bar staff) knew what it was. The espresso had gone cold by that time so we decided that it was time to leave. What a disappointing end to what had started out as a great evening...","August 5, 2014",Barcelona_Catalonia,https://www.tripadvisor.com/Restaurant_Review-g187497-d1308839-Reviews-or410-Shoko-Barcelona_Catalonia.html,UID_1551,"{'location': 'positive', 'drinks': 'positive', 'starter': 'positive', 'main courses': 'positive', 'service': 'negative', 'dessert': 'negative', 'coffee': 'negative', 'digestifs': 'negative', 'atmosphere': 'negative'}"
411525,411526,Crudo_Bar,5,Positive,review_524154869,A gem of a find!,"Last night in Barcelona ..... trying to find a place close to our hotel that would be open for an early dinner.. (7:30)   Crudo delivered on all counts....  7 of us and the service was excellent, the food outstanding and the $ very reasonable....  Friends...","Last night in Barcelona ..... trying to find a place close to our hotel that would be open for an early dinner.. (7:30) Crudo delivered on all counts.... 7 of us and the service was excellent, the food outstanding and the $ very reasonable.... Friends had pitchers of San Gria... and the Bartender even made a pitcher of NOHITO for my wife and I as we do not drink... Orders of Ceviche, calamari, and Tomato bread were some great Tapas to share.. Black rice with Shrimp and Octopus was wonderful.... friend had the Corcina fish and was outstanding...... Do not hesitate to go to this restaurant... the vibe is contemporary, the food...classic!","September 13, 2017",Barcelona_Catalonia,https://www.tripadvisor.com/Restaurant_Review-g187497-d12070921-Reviews-or350-Crudo_Bar-Barcelona_Catalonia.html,UID_224569,"{'location': 'positive', 'service': 'positive', 'food': 'positive', 'price': 'positive', 'drinks': 'positive', 'ceviche': 'positive', 'calamari': 'positive', 'tomato bread': 'positive', 'black rice with shrimp and octopus': 'positive', 'corcina fish': 'positive', 'atmosphere': 'positive'}"
247669,247670,Balthazar,5,Positive,review_576892693,Excellent value for reasonable price in nice setting,Interior of restaurant is modern and comfortable.It tends to get a bit noisy when restaurant is getting full.Service is excellent.Choice is rather limited.Plates are very nicely presented. Price is very reasonable. The restaurant also offers interesting fixed price menus.,Interior of restaurant is modern and comfortable.It tends to get a bit noisy when restaurant is getting full.Service is excellent.Choice is rather limited.Plates are very nicely presented. Price is very reasonable. The restaurant also offers interesting fixed price menus.,"April 30, 2018",Barcelona_Catalonia,https://www.tripadvisor.com/Restaurant_Review-g187497-d782427-Reviews-or30-Balthazar-Barcelona_Catalonia.html,UID_160552,"{'interior': 'positive', 'noise level': 'negative', 'service': 'positive', 'menu variety': 'negative', 'presentation': 'positive', 'price': 'positive', 'fixed price menus': 'positive'}"
